coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Bitcoin,BTC,0.9913189301474841,0.022,0.03,0.055,0.6108704964347693,770991461396.0,2022-03-16
Ethereum,ETH,0.06658398287898774,0.024,0.034,0.065,0.3408769457657339,327104429349.0,2022-03-16
Tether,USDT,2.4261674742554178e-05,-0.001,-0.001,0.0,1.0,79965155138.0,2022-03-16
BNB,BNB,0.009302653960306682,0.018,0.0279999999999999,0.004,0.024093462139330796,64043816800.0,2022-03-16
USD Coin,USDC,2.425861777153208e-05,-0.001,0.0,-0.0,0.06683827872339852,52222137400.0,2022-03-16
XRP,XRP,1.9045851375310114e-05,0.019,0.019,0.089,0.06775190777754801,37530785877.0,2022-03-16
Terra,LUNA,0.0021716625093927675,0.024,-0.005,0.046,0.04593958207628716,32945963147.0,2022-03-16
Solana,SOL,0.0020770419777563893,0.024,0.0139999999999999,0.0409999999999999,0.030657948753529805,27535891424.0,2022-03-16
Cardano,ADA,1.999552611116723e-05,0.016,0.016,0.0279999999999999,0.016410094665562397,26331888060.0,2022-03-16
Polkadot,DOT,0.0004500540671062559,0.031,0.035,0.095,0.013156112001837429,20175265447.0,2022-03-16
Avalanche,AVAX,0.0017878428143959717,0.034,0.032,0.011,0.014962274146515983,19563622731.0,2022-03-16
Binance USD,BUSD,2.4261674742554178e-05,-0.002,0.002,0.002,0.069724558144343,17975175881.0,2022-03-16
Dogecoin,DOGE,2.8061052688837507e-06,0.015,0.023,-0.011,0.007799083941849879,15312260998.0,2022-03-16
TerraUSD,UST,2.4261674742554178e-05,-0.001,0.003,0.001,0.012811071876357567,15025463384.0,2022-03-16
Shiba Inu,SHIB,5.4386586011157e-10,0.024,0.0279999999999999,-0.021,0.009430312636809489,12186102832.0,2022-03-16
Wrapped Bitcoin,WBTC,0.9903722395976248,0.02,0.03,0.055,0.007647291265680294,11077637101.0,2022-03-16
Cronos,CRO,9.742882013195307e-06,0.018,0.043,0.038,0.0017128425298391225,10108572460.0,2022-03-16
