coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,price_ma7,price_volatility,liquidity_ratio
0x,ZRX,1.2368383411031793e-05,0.025,0.035,0.0279999999999999,0.0005059000197453,427933388.0,2022-03-16,1.2368383411031793e-05,,37.84302141781957
0x,ZRX,1.2571429367253547e-05,0.003,0.016,-0.01,0.0004181292988661,439124277.0,2022-03-17,1.2469906389142671e-05,1.4357517253690907e-07,30.809525478208112
1inch,1INCH,3.639251213183343e-05,0.021,0.111,0.163,0.0020791779976598,616145134.0,2022-03-16,3.639251213183343e-05,,55.60412711318559
1inch,1INCH,3.614989538404784e-05,0.008,-0.003,0.087,0.0011071923058204,617505356.0,2022-03-17,3.6271203757940634e-05,1.7155594758861632e-07,29.803376143444762
AIOZ Network,AIOZ,5.759624509726349e-06,0.047,0.287,0.241,0.0002367387472283,114207956.0,2022-03-16,5.759624509726349e-06,,35.022470092482095
AIOZ Network,AIOZ,5.205609166157966e-06,-0.012,-0.095,-0.107,9.481686255323796e-05,103148149.0,2022-03-17,5.482616837942157e-06,3.917480063185984e-07,15.279219173246975
APENFT,NFT,3.692961712408549e-11,0.004,0.005,-0.047,0.001191038989048,421365369.0,2022-03-16,3.692961712408549e-11,,1190.9950060584295
APENFT,NFT,3.7300335514701855e-11,0.001,0.01,-0.052,0.0009128852201458,426608620.0,2022-03-17,3.711497631939367e-11,2.6213748791539744e-13,912.8511704908658
API3,API3,0.0001140298714232,0.0279999999999999,-0.008,-0.1009999999999999,0.0005131958379141,230984150.0,2022-03-16,0.0001140298714232,,4.4614136446873855
API3,API3,0.0001125741709365,0.003,-0.012,-0.146,0.0005297016894789,230330587.0,2022-03-17,0.00011330202117985,1.0293356855221196e-06,4.66392741510796
ARPA Chain,ARPA,1.6623054062047894e-06,0.0279999999999999,0.026,-0.008,0.0002561201159921,66892485.0,2022-03-16,1.6623054062047894e-06,,96.20237986039639
ARPA Chain,ARPA,1.6741373710098338e-06,-0.0,0.008,-0.037,0.0002353286662133,67762845.0,2022-03-17,1.6682213886073117e-06,8.366462548407394e-09,88.00171179105615
Aave,AAVE,0.003334524581529,0.037,0.131,0.129,0.0048733318667134,1862097786.0,2022-03-16,0.003334524581529,,1.4610391102197995
Aave,AAVE,0.0035708332938722,0.0069999999999999,0.071,0.153,0.0070203244168376,2009385126.0,2022-03-17,0.0034526789377006,0.00016709549295133763,1.9654681053792726
Aave [OLD],LEND,3.2995877662835235e-05,0.026,0.08,0.038,8.851597026286959e-08,69502548.0,2022-03-16,3.2995877662835235e-05,,0.002603726579462206
Aave [OLD],LEND,3.566466188847667e-05,0.002,0.079,0.072,2.044295559087798e-07,75160944.0,2022-03-17,3.433026977565595e-05,1.8871154234747482e-06,0.0055756563780840415
Aavegotchi,GHST,4.731026578218475e-05,0.0069999999999999,0.008,0.017,0.0004884417382253,117328055.0,2022-03-16,4.731026578218475e-05,,10.110516477543813
Aavegotchi,GHST,4.706764903439917e-05,-0.001,0.0,-0.008,0.0004997850082825,117650490.0,2022-03-17,4.7188957408291965e-05,1.715559475886139e-07,10.397533857435663
Acala,ACA,2.668784222041003e-05,0.035,0.022,0.018,0.0002291378801351,140584940.0,2022-03-16,2.668784222041003e-05,,8.275757941375133
Acala,ACA,2.620260872483886e-05,0.002,-0.0139999999999999,-0.054,0.0001525751742138,137419617.0,2022-03-17,2.6445225472624446e-05,3.431118951772278e-07,5.608843466343091
Adshares,ADS,8.39453946978081e-05,0.0139999999999999,0.063,0.3289999999999999,2.1126894852972637e-05,82839334.0,2022-03-16,8.39453946978081e-05,,0.24871148021774733
Adshares,ADS,8.612894542787836e-05,0.001,0.0279999999999999,0.298,2.052285552133013e-05,85408124.0,2022-03-17,8.503717006284322e-05,1.544003528297523e-06,0.23554578126184345
Adventure Gold,AGLD,2.668784222041003e-05,-0.002,0.1889999999999999,0.098,0.0009879340217465,85075417.0,2022-03-16,2.668784222041003e-05,,35.68114892746126
Adventure Gold,AGLD,2.6930458968195617e-05,-0.011,0.009,0.089,0.0009754463306071,85908280.0,2022-03-17,2.6809150594302823e-05,1.715559475886151e-07,34.924106750907306
Aergo,AERGO,5.253647282219511e-06,0.011,0.003,-0.14,0.000154637900783,78030243.0,2022-03-16,5.253647282219511e-06,,24.72763393974416
